번호,공고명,접수구분,구분,지원사업명,사업개요,날짜,주관부서,지원대상,사업내용
9307,중소기업 대상 해외전시회 개별참가 지원,마감,판로,2016년 하반기 KOTRA 해외전시회 개별 참가 지원사업,중소기업 대상 해외전시회 개별참가 지원,2016-07-05 ~ 2016-07-26,"대한무역투자진흥공사 해외전시팀 이성훈(02-3460-7280, 916366@kotra.or.kr)",해외전시회 참가를 희망하는 중소기업,"ㅇ 참가 전시회 기준
 
 - 개최기간 기준(하반기) : 2016. 7. 1. ~ 12. 30. 기간 개최되는 해외전시회에 참가하는 경우에 한함
 

 ㅇ 자금 지원 : 업체당 기본 600만원 한도 (최대 : 700만원 한도)
 

 ㅇ 지원액 내역 : 기본부스와 독립부스의 경우로 구분
 
 - 지원 내용 : 부스임차비 + 편도 해상운송비(또는 항공운송비) + 해외시장조사비
 

 ㅇ 전시마케팅 지원
 
 - 오프라인 :  사업 안내 설명회 및 참가준비 교육 개최(전국) (한국전시산업진흥회와 공동 개최 예정)
 
 - 온라인 : 글로벌전시포털을 개편, 전시회·시장정보 간편 제공, 해외시장조사 서비스 제공
 

 ㅇ 지원 회수 : 업체당 연간 1회 지원에 한함"
9308,전략기술 분야 핵심ㆍ원천 기술개발 지원,마감,R&D,2016년 제4차 산업핵심기술개발사업 신규지원 대상과제 공고,전략기술 분야 핵심ㆍ원천 기술개발 지원,2016-07-19 ~ 2016-08-04,산업핵심기술개발사업 총괄 사업총괄팀(053-718-8476),"중소ㆍ중견기업 또는 대학, 기관 등이 주관(참여)기관으로 참여","ㅇ 지원대상분야
 
 - 10년 이내에 기술적 파급효과가 크고 산업 기술 경쟁력을 획기적으로 제고 할 수 있는 부가가치가 높은 핵심기술, 원천기술 및 엔지니어링 기술
 
 ※ 창의산업분야 : 바이오, 나노융합, 엔지니어링, 지식서비스
 
 ※ 소재부품산업분야 : 화학공정, 주력산업IT융합, 반도체공정장비
 
 ※ 시스템산업분야 : 로봇, 산업용기계, 생산장비, 의료기기
 

 ㅇ 사업설명회 및 정보교류회 개최
 
 - 사업설명회와 정보교류회를 통합하여 개최
 
 - 일시 및 장소 : 7월 11일(월) 13:30~, 대전 인터시티호텔 파인(Pine)홀"
9309,첨단융합 Eye콘텐츠 기업역량강화 및 성과확산 지원,마감,판로,2016년 첨단융합 Eye콘텐츠 기업역량강화 및 성과확산 지원 기업 모집 공고,첨단융합 Eye콘텐츠 기업역량강화 및 성과확산 지원,2016-07-06 ~ 2016-12-31,"대구테크노파크 스포츠융복합산업지원본부 김선미 연구원(053-757-4186, ksm2b2@ttp.org)",대구 소재 Eye콘텐츠 및 디바이스 관련 중소ㆍ중견 기업,"ㅇ 사업기간 : 2016. 1. 1. ~ 2016. 12. 31.
 

 ㅇ 지원분야
 
 - 시제품제작 및 디자인 지원
 
 -  특허ㆍ인증 컨설팅 및 마케팅
 
 -  전시회 참가 지원"
9310,"광교소재 기업, 대학, 연구소 대상 기술가치 평가 지원",마감,R&D,2016년 광교 융ㆍ복합 사업우수기술 발굴 및 사업화 연계 시행 공고,"광교소재 기업, 대학, 연구소 대상 기술가치 평가 지원",2016-07-06 ~ 2016-07-29,"경기과학기술진흥원 클러스터혁신본부 클러스터육성팀 김현명 선임연구원(031-776-4821, wisdom@gstep.re.kr)","광교테크노밸리 내 소재 기업, 대학, 연구소","ㅇ 지원규모 : 총 120,000천원 내외(약 6건 × 20,000천원)
 

 ㅇ 추진내용 : 공고 후 선정평가위원회를 통해 선별된 기술에 대해 기술가치평가 전문기관에 의뢰 후 기술가치 평가 보고서 제공
 

 ㅇ 지원내용
 
 - 기술가치 평가 보고서 제공 후 필요시 기술 사업화를 위한 기술 컨설팅 등 제공
 
 ㆍ 우수기술의 상용화･사업화를 위한 관련 기술 컨설팅 제공(기술전문가, 컨설턴트 등 매칭)
 
 ㆍ 해당 기술 매칭･이전･활용을 위한 수요처 발굴 등 수행
 
 ㆍ 후속 R&D; 필요시 경기도 기술개발사업 등 R&D;지원 사업 연계"
9311,중소기업 대상 해외 마케팅 컨설팅 및 인증획득 지원,마감,판로,2016년 중소기업 컨설팅 및 인증획득 지원사업 추가공고,중소기업 대상 해외 마케팅 컨설팅 및 인증획득 지원,2016-07-06 ~ 2016-12-31,"제주경제통상진흥원(064-751-2507, qwer@jba.or.kr)",제주 소재 중소기업,"ㅇ 지원내용
 
 - HACCP 인증
 
 - 해외 마케팅
 
 - 경영일반
 
 - HACCP 사전
 
 - KS인증/녹색인증
 
 - INNO_Biz인증 등 기업인증"
9312,중소기업 대상 지재권 연계 연구개발 전략 수립,마감,R&D,지재권 연계 연구개발 전략지원 사업(2016년 하반기 IP-R&D; 전략지원 사업 시행 계획 연장공고),중소기업 대상 지재권 연계 연구개발 전략 수립,2016-06-07 ~ 2016-07-18,"한국지식재산전략원 중소기업팀(02-3287-4253, ippro@kista.re.kr)",연구 조직을 보유한 중소기업,"ㅇ 지원 방식 : 한국지식재산전략원 소속 지재권전략전문가(PM)와 지재권분석 전문기관이 팀을 구성하여 기업에 맞춤형‧밀착형 특허 전략 수립을 지원
 

 ㅇ 사업 결과물 : 특허·논문 분석자료, 환경(시장 등) 분석자료, 핵심특허 요지 리스트, 핵심특허 대응전략 보고서, 지재권 포트폴리오, 유망 R&D;과제 도출, 분석특허 DB 등"
9313,중소제조기업 대상 혁신기술 발굴 및 개발 지원,마감,R&D,2016년 중소기업 혁신기술개발 지원사업 시행계획 공고,중소제조기업 대상 혁신기술 발굴 및 개발 지원,2016-07-06 ~ 2016-07-29,"경북테크노파크 첨단메디컬융합섬유센터(053-819-8111, dhshin@gdtp.or.kr)",경상북도 소재 중소 제조 기업,"ㅇ 지원규모 : 약 3.6억원
 

 ㅇ 지원분야 : 중소기업이 개발하고자 하는 기술을 자유롭게 제안(자유응모)
 

 ㅇ 지원금 : 지원과제당 총사업비의 80%이내에서 최대 0.9억원까지 지원
 

 ㅇ 민간부담금 : 중소기업은 지원금 이외에 총사업비의 20%이상을 부담"
9314,콘텐츠제작 기업 대상 콘텐츠 제작 지원,마감,판로,아시아 CGI애니메이션 활성화사업 콘텐츠 제작기업 모집,콘텐츠제작 기업 대상 콘텐츠 제작 지원,2016-07-05 ~ 2016-07-25,"(재)제주테크노파크 디지털융합센터 방송통신사업팀 고현숙 연구원(064-720-3736, ggumaya@jejutp.or.kr)",본사가 제주특별자치도에 소재한 콘텐츠 제작 기업,"ㅇ 지원내용 : 본편 제작을 위한 신규 애니메이션 파일럿, VR, 웹툰 콘텐츠 제작
 

 ㅇ 협약기간: 협약체결일 ~ 2016. 11. 30.(협약기간 연장 불가)
 

 ㅇ 지원규모: 기업당 30~50백만원 내외, 5개 과제 내외"
9315,스마트콘텐츠 기업 대상 콘텐츠 제작 및 마케팅 지원,마감,판로,스마트콘텐츠 지역 성장거점 구축 사업 세부사업 모집 공고,스마트콘텐츠 기업 대상 콘텐츠 제작 및 마케팅 지원,2016-07-20 ~ 2016-07-22,(재)제주테크노파크 디지털융합센터 문화콘텐츠사업팀 김호전 선임연구원(064-720-3757),제주특별자치도 내에 위치한 스마트콘텐츠 제작을 희망하는 IT/CT 기업,"ㅇ 지원기간 : 협약체결일 ~ 2016. 11. 11.
 

 ㅇ 지원규모 : 총 152,000천원(※ 자세한 사항은 지원 세부내용 참고)
 

 ㅇ 지원내용 : 지역 스마트콘텐츠기업 발굴·육성을 통해 글로벌 강소기업으로 도약할 수 있는 스마트콘텐츠 제작 및 마케팅 지원"
9316,창업(예비)자 대상  비상주 사업자등록 주소지 제공,마감,창업,2016년 하반기 북부 경기문화창조허브 가상오피스 지원 모집 공고,창업(예비)자 대상  비상주 사업자등록 주소지 제공,2016-07-06 ~ 2016-07-22,"경기콘텐츠진흥원 북부 경기문화창조허브 가상오피스 지원 담당자(031-877-2715, lee.hana@gdca.or.kr)",문화콘텐츠산업 창업(예비)자 중 개인 및 법인사업자,"ㅇ 지원 내용
 
 - 비상주 사업자등록 주소지 사용 허가
 
 ㆍ 사업자등록 시 사업장 소재(주소지) 사용(주소지 : 북부 경기문화창조허브)
 
 ㆍ 사업자등록을 위한 스마트오피스 임대차 계약서"
9317,애니메이션 수출희망기업 대상 해외마켓 참가 지원,마감,판로,2016년 하반기 애니메이션 해외마켓 참가안내,애니메이션 수출희망기업 대상 해외마켓 참가 지원,2016-07-05 ~ 2016-07-15,"한국콘텐츠진흥원 해외사업진흥단 임빈나 주임(061-900-6221, yehbinn@kocca.kr)",국산 애니메이션 기획ㆍ제작ㆍ배급 및 융합콘텐츠 관련 해외 수출을 원하는 업체,"ㅇ 지원내용: 부스 임차, 비즈니스 매칭, 숙박비, 체재비 등을 지원
 

 ㅇ 참가지원 마켓
 
 - MIPCOM : 10.17-20 / 프랑스 깐느
 
 - MIPCancun : 11.16-18 / 멕시코 칸쿤
 
 - TIFFCOM : 10.25-27 / 일본 도쿄"
9318,의료기기 기업체 대상 산학협력 멘토링 프로그램 제공,마감,R&D,2016년 의료기기 산학협력 멘토링 프로그램 공고(의료기기 산학협력구축사업),의료기기 기업체 대상 산학협력 멘토링 프로그램 제공,2016-07-06 ~ 2016-12-31,충북테크노파크 지역산업육성실 이상구 책임(043-270-2812),충북 의료기기 기업체,"ㅇ 지원내용 : 의료기기 전문가 등 매칭 멘토링
 

 ㅇ 신청분야 : R&D;기획, 기술정보제공, 정부과제발굴, 장비 및 전문기관 연계 등 기업현장 애로해결과제 및 융복합 R&D; 과제
 

 ㅇ 지원금
 
 - 일반 애로해결 과제 : 기업당 멘토 1인(2백만원)
 
 - 융복합 R&D; 과제 : 기업당 멘토 2인(4백만원)
 

 ㅇ 지원기간 : 4개월 이내
 

 ㅇ 멘토자격 : 지역내외 의료기기 관련 교수 및 전문가, 기타 자문위원 등"
9319,기계ㆍ식품제조업체 대상 중국수출 지원,마감,판로,2016년 중국 기계ㆍ식품 수출컨소시엄 사업 모집 공고,기계ㆍ식품제조업체 대상 중국수출 지원,2016-07-05 ~ 2016-07-08,"중소기업진흥공단 경남지역본부 수출협력팀 이경진 대리(055-268-2565, jingchen86@sbc.or.kr)",경남 지역 소재 기계ㆍ식품제조업을 영위 중인 업체,"ㅇ 지원내용
 
 - 중국어 홍보물제작
 
 - 시장성 평가 및 시장조사
 
 - 검색엔진 및 언론보도 마케팅
 
 - B2B, B2C 온라인 마케팅
 
 - 현지 파견 수출상담회
 
 - 바이어 초청 상담회 개최"
9320,2016년 대구광역시 중소기업대상 공모,마감,인력,2016년 대구광역시 중소기업대상 공모,2016년 대구광역시 중소기업대상 공모,2016-07-11 ~ 2016-07-29,대구광역시 경제정책과(053-803-3393),대구광역시 소재 중소기업,"ㅇ 시상부문
 
 - 대상 : 1개 기업
 
 - 최우수상 : 2개 기업
 
 - 우수상 : 3개 기업
 

 ㅇ 수상기업 특전
 
 - 대구광역시 중소기업 육성자금지원 우대(수상 후 2년 이내)
 
 - 해외 시장개척단 파견 및 해외 전시·박람회 등 참가 우선지원(2년)
 
 - 「대구광역시 지방세무조사 운영규칙」제14조 1항의 규정에 의한 세무조사 면제(3년)
 
 - 「대구광역시 기업인 예우 및 기업활동 지원에 관한 조례」에 의한 예우 등"
9321,건설관련 중소ㆍ중견기업 대상 해외진출 지원,마감,판로,2016년 건설관련 중소기업 해외진출 지원사업 기업 공모,건설관련 중소ㆍ중견기업 대상 해외진출 지원,2016-07-01 ~ 2016-07-15,"한국건설기술연구원 대외협력실 신상희 수석연구원(031-910-0027, scott@kict.re.kr)",국내 건설관련 중소ㆍ중견기업,"ㅇ 지원기간 : 기업선정 이후부터 2016년 12월 31일까지
 

 ㅇ 지원내용
 
 - 해외진출 원스톱 패키지 지원사업
 
 - 건설엔지니어링 해외진출 지원사업"
9322,'2016 충북 CIS 무역사절단' 참가 지원,마감,판로,"2016년 CIS(러시아, 카자흐스탄) 무역사절단 업체 모집 공고",'2016 충북 CIS 무역사절단' 참가 지원,2016-07-07 ~ 2016-07-21,중소기업진흥공단 충북지역본부 김지인 사원(043-230-6835),충북소재 중소제조업체,"ㅇ 사업개요
 
 - 파견지역 : 러시아 모스크바, 카자흐스탄 알마티
 
 - 파견규모 : 충북소재 중소제조업체 10개사 내외
 
 - 파견일시 : 2016. 10. 24(월) ~ 10. 29(토)
 

 ㅇ 지원범위 : 연4회, 회당 1,000만원 이내
 

 ㅇ 지원내용
 
 - 참가기업 제품에 대한 사전 시장성 조사 및 바이어 발굴
 
 - 상담장 제공, 통역, 현지 교통편의 제공"
9323,벤처기업 인증기업 대상 공동채용 지원,마감,인력,2016년 3차 지방벤처기업 공동채용사업 참여기업 모집,벤처기업 인증기업 대상 공동채용 지원,2016-07-06 ~ 2016-07-15,"(사)대덕이노폴리스벤처협회 기업 채용지원팀 정경숙 주임(070-8853-7751, jks@diva.or.kr)",국내 벤처기업 인증기업,"ㅇ 지원혜택(중복지원 가능)
 
 - 잡포털사이트(잡코리아 및 사람인) 유료 배너형 채용공고 무상지원
 
 - 구직자 메일링 서비스
 
 - 주요대학 및 특성화고별 인재 추천
 
 - 채용박람회 우선 참여 혜택
 
 - 신입사원 4박5일 공동훈련 교육지원(연6회)
 

 ㅇ 지원규모 : 20개사"
9324,예비창업자 대상 신사업 아이디어 사업화 지원,마감,창업,소상공인시장진흥공단 2016년 1차 신사업 아이디어 사업화지원 공고,예비창업자 대상 신사업 아이디어 사업화 지원,2016-07-07 ~ 2016-08-03,"소상공인시장진흥공단 교육지원실 신사업 육성지원 담당자(042-363-7847~8, bm@semas.or.kr)",신사업 아이디어 사업화를 준비중인 예비창업자,"ㅇ 지원내용 : 1인당 최대 1,000만원 사업화 보조금 지원
 
 - 매장 모델링, 시제품 제작, 브랜드 개발, 홈페이지 제작 및 마케팅ㆍ홍보 등 사업화 소요 비용의 일부
 
 - 지원금은 총 사업비의 50% 이내이며, 나머지는 본인 부담 조건
 
 - 협약기간(협약일로부터 120일간) 내 지출된 사업비에 한하여 지원
 

 ㅇ 선정규모 : 100명 내외(’16년 1차)"
9325,'2016 중국 국제의료기기전시회' 참가 지원,마감,판로,2016년 중국 국제의료기기전시회(CMEF) 참가기업 모집공고,'2016 중국 국제의료기기전시회' 참가 지원,2016-07-06 ~ 2016-07-29,충북테크노파크 지역산업육성실 김민석 선임(043-270-2813),충청북도 소재 의료기기 기업,"ㅇ 전시회개요
 
 - 명칭 : 중국 국제의료기기전시회(CMEF) Autumn 2016
 
 - 개최기간 : 2016. 10. 29(토) ~ 11. 01(화) [4일간]
 
 - 개최장소 : 중국 심천(ShenZhen Convention and Exhibition Center)
 

 ㅇ 전시품목 : 의료기기ㆍ장비, 영상장치, 의료광학장치ㆍ기기, 치료용 장비 등
 

 ㅇ 모집업체 : 7개사 내외
 

 ㅇ 지원사항
 
 - 기본부스 임차료 및 기본장치비
 
 - 통역비(50%) 및 운송료(40만원 이내) 일부
 
 - 바이어발굴 및 상담지원, 전시기간 중 현장 운영 지원 등"
9326,'2016 홍콩 화장품 박람회' 참가 지원,마감,판로,2016년 홍콩 화장품 박람회 참가기업 모집 공고,'2016 홍콩 화장품 박람회' 참가 지원,2016-07-06 ~ 2016-07-21,"충북테크노파크 글로벌비지니스팀 김유정 연구원(043-270-2241, yoojk0204@cbtp.or.kr)",충청북도 소재 중소 화장품 또는 미용 제조업체,"ㅇ 전시회개요
 
 - 명칭 : 2016 홍콩 화장품 박람회(Cosmoprof Asia 2016)
 
 - 개최기간 : 2016. 11. 16(수) ~ 11. 18(금) / 3일간
 
 - 개최장소 : 홍콩종합전시장(HKCEC)
 
 - 전시품목 : 화장품(기초, 색조), 향수, 천연화장품, 세면도구, 전문뷰티 살롱, 스파, 미용 부자재, 헤어관련 기기 및 제품, 네일 및 악세사리, 용기, 원자재, 기계, 라벨, 제조 등
 

 ㅇ 모집업체 : 8개사 내외
 

 ㅇ 지원사항
 
 - 기본부스 및 임차 및 장치, 편도운송 일부(단, 운송비는 추후 지원여부 결정)
 
 - 바이어 발굴, 매체 광고 및 홍보
 
 - 수출상담 및 전시회 참가 관련 행정 지원 등"
9327,'경북PRIDE상품' 지정 후 마케팅 및 홍보 지원,마감,판로,2016년 2차 경북Pride상품 선정계획 연장 공고,'경북PRIDE상품' 지정 후 마케팅 및 홍보 지원,2016-06-01 ~ 2016-07-31,경상북도경제진흥원 경북Pride상품지원센터(070-7714-4401~4),경북도 내에 본사 및 공장이 소재한 중소ㆍ중견 제조업체에서 생산된 상품,"ㅇ 선정 상품수 : 5개 내외
 

 ㅇ 지원혜택
 
 - 지정서 및 현판 수여
 
 - 해외시장 동향 조사 및 글로벌 마케팅사업 지원
 
 - 기업 경영 진단 및 컨설팅 지원
 

 ㅇ 지정서 수여：2016년 11월~12월(예정)"
9328,"ITㆍSW기업 대상 전시회(중국 심천하이테크 박람회, 부산IT EXPO) 참가 지원",마감,판로,2016년 지역SW성장지원사업 국내ㆍ외 공동마케팅 지원 참가기업 모집 공고,"ITㆍSW기업 대상 전시회(중국 심천하이테크 박람회, 부산IT EXPO) 참가 지원",2016-07-07 ~ 2016-10-21,"(재)경남테크노파크 ICT진흥팀 서호진(055-259-5984, apple@gntp.or.kr)",경남 지역 유망 ITㆍSW 기업,"ㅇ 중국 심천하이테크박람회
 
 - 개최일자 : 2016. 11. 16.(수) ~ 11. 21.(월)[6일간]
 
 -  전시품목 : 개인용 전자기기, 디지털 홈 제품, 휴대용 사무기기, 차량용 기기, 모바일 어플리케이션, 무선통신기술 제품 및 각종 소프트웨어 등
 

 ㅇ 부산 IT EXPO 전시회
 
 - 개최일자 : 2016. 9. 7.(tn) ~ 9. 9.(rma)(3일간)
 
 - 전시품목 : ICT기반 융합기술, 모바일, 통신, 방송, 콘텐츠 및 SW
 

 ㅇ 지원내용 및 규모
 
 - 심천하이테크박람회 : 기업당 약 700만원 가량 지원
 
 - 부산 IT EXPO 전시회 : 부스임차비 장치비 100% 지원(기본 1개 부스)"
9329,수산식품업체 대상 수출 마케팅 및 홍보 지원,마감,판로,2016년 수산식품 수출 마케팅 및 홍보지원 사업 모집 공고,수산식품업체 대상 수출 마케팅 및 홍보 지원,2016-07-06 ~ 2016-07-21,제주특별자치도 해양수산국 수산정책과 수산물가공유통담당(064-710-3248),제주특별자치도 소재 수산물 및 수산식품 관련 업체,"ㅇ 사업개요
 
 - 사업명 : 제주수산식품 수출 마케팅 및 홍보지원 사업
 
 - 사업기간 : 2016. 8월 ~ 12월
 
 - 사업내용
 
 ㆍ 중국지역 수산물 수출시장 개척 및 판촉행사 지원
 
 ㆍ 해외시장 개척 국제수산식품 박람회 참가 지원
 
 ㆍ 제주수산식품 수출용 포장지 제작 지원"
9330,유기농식품 유통활성화 지원,마감,판로,2016년 유기농식품 유통활성화 지원사업 참가자 추가모집 계획 공고,유기농식품 유통활성화 지원,2016-07-01 ~ 2016-07-20,"한국농수산식품유통공사 농수산물사이버거래소 마케팅부(02-6300-1789, puella@at.or.kr)","친환경농산물(유기농산물, 유기가공식품) 생산자 및 생산자단체","ㅇ 지원 내용
 
 - 쇼핑몰 상세페이지 제작 : 개별 업체당 2개 품목 제작지원
 
 - 쇼핑몰 판매 대행 : SSG몰, CJ오쇼핑, 위메프, eaTmart
 
 - 판매 관리, 홍보 : 주문 수집, 고객 관리, 홍보 등"
9331,(예비)창업자 대상 글로벌 진출 역량강화 프로그램 참가기업 모집,마감,창업,글로벌 진출 역량강화 프로그램 참가기업 모집(2016년 청년창업지원사업),(예비)창업자 대상 글로벌 진출 역량강화 프로그램 참가기업 모집,2016-07-06 ~ 2016-07-18,"(재)대구디지털산업진흥원 ICT청년창업지원센터 장승현 주임(053-422-9082, jang@dip.or.kr)",대구 지역 내 소재 예비창업자 또는 사업자등록증을 보유한 개인 및 법인사업자,"ㅇ 사업기간 : 2016년 7월 25일(월) ~ 10월 31일(월)
 

 ㅇ 지원규모 : 40명 내외
 

 ㅇ 지원내용
 
 - Off Line 교육
 
 - On Line 교육(원격교육)
 
 - 해외진출 및 투자 IR"
9332,‘2016심천하이테크페어(China High-Tech Fair 2016)’ 참가 지원,마감,판로,2016년 심천하이테크페어 참가기업 연장공고,‘2016심천하이테크페어(China High-Tech Fair 2016)’ 참가 지원,2016-07-06 ~ 2016-07-20,"대전테크노파크 지역산업육성실 사업화지원팀 류승호(042-930-2915, ryush8430@djtp.or.kr)",대전지역 전략산업분야 수출유망 중소ㆍ벤처기업,"ㅇ 전시회 개요
 
 - 일    시 : 2016. 11. 16. ~ 11. 21. (6일간)
 
 - 전시장소 : Shenzhen Convention & Exhibition Center
 
 - 전시규모 : 100,000㎡(50개국 3천여개 기업 참가 / 약 50만명 방문)
 
 - 전시품목 : 인터넷 응용기술 및 서비스, 지능형 태블릿 및 무선통신기기, 소프트웨어응용기술 및 응용프로그램, 신기술(로봇, 생물 식별 기술, 음성인식장치 등), 소비자 가전제품, 자동제어장치 및 서비스
 

 ㅇ 지원규모 : 12개사
 

 ㅇ 지원내용 : 부스임차 및 장치비, 교통, 통역, 컨설팅 및 교육 등 지원"
9333,화장품 제조업체 대상 제품개선 및 기술개발 지원,마감,R&D,2016년 2차 현장수요형 기술개발사업(뷰티 융복합 기술개발사업) 시행 공고,화장품 제조업체 대상 제품개선 및 기술개발 지원,2016-07-06 ~ 2016-07-13,인천지방중소기업청(032-450-1174),인천소재 화장품 제조업체,"ㅇ 지원규모 :  8억원(10개사 내외)
 

 ㅇ 지원과제 : 특화원료를 이용한 화장품과 화장품 용기를 개발하는 과제
 

 ㅇ 지원조건 : 개발기간 최대 1년, 8,000만원 한도 (기술료 면제)
 

 ㅇ 지원내용 : 특화기능 화장품 개발 및 제품화 과정에 필요한 비용지원"
9334,"4대 문화(유교, 신라, 가야, 해양)기업 대상 국내외 권리화, 디자인 및 브랜드 개발 지원",마감,판로,"IP 문화융성 지원사업(유교, 신라, 가야, 해양문화권) 공고","4대 문화(유교, 신라, 가야, 해양)기업 대상 국내외 권리화, 디자인 및 브랜드 개발 지원",2016-07-07 ~ 2016-07-18,"경북지식재산센터 진애라 컨설턴트(054-274-5533, aera@daum.net)","경상북도 문화(유교, 신라, 가야, 해양)와 관련된 중소기업","ㅇ 사업기간 : 2016. 07 ~ 2016. 11
 

 ㅇ 세부지원내용 : 국내권리화, 해외권리화, 디자인개발, 브랜드개발, 맞춤형 PM"
9335,‘제45회 중국 광동(광저우) 국제 미용 박람회(추계)’ 참가 지원,마감,판로,제45회 중국 광동(광저우) 국제 미용 박람회(추계) 지원기업 모집,‘제45회 중국 광동(광저우) 국제 미용 박람회(추계)’ 참가 지원,2016-07-05 ~ 2016-07-15,"(재)제주테크노파크 바이오융합센터 화장품사업팀 문삼현 연구원(064-720-2358, tkagus123@jejutp.or.kr)",제주도내 화장품 수출희망기업,"ㅇ 개요
 
 - 박람회명 : 제45회 중국 광동(광저우) 국제 미용박람회(추계)
 
 - 일시 : 2016. 9. 4.(일) ~ 9. 6.(화), 3일간
 
 - 장소 : 중국수출입상품교역회(파저우전시장 B구역 9.2Hall), 난펑국제컨벤션센터
 
 - 전시품목 : 스킨케어, 미용, 화장품, 미용기기, 네일, 헤어, 스파, 성형, 반영구 등
 

 ㅇ 지원범위 : 3개사 한국공동관 기업별 부스 지원
 
 - 부스 임차비(100%) : 기본부스(4m × 3m=12㎡)/1개사, 기업별 기본부스 활용
 
 - 부스 장치비(100%) : 기본부스 내 전기, 장치비 등
 
 - 전시·판매 물품 운송비(100%) : 편도 운송비 지원
 
 - 통역원 지원(100%) : 기업당 1인 지원
 
 - 물품임대비(100%) : 박람회장 부스운영에 따른 물품임대(상담테이블, 카탈로그 스탠드 등)"
9336,중소기업 대상 인재채용 지원,마감,인력,서울산업진흥원(SBA) 인재채용 지원사업 참가기업 모집,중소기업 대상 인재채용 지원,2016-07-06 ~ 2016-07-15,"서울산업진흥원(SBA) 일자리본부 일자리전략팀(02-2222-3737, seoulkgoodjob@sba.seoul.kr)",서울 소재 중소기업기본법상 중소기업,"ㅇ 지원기간 : 2016년 7월 15일 ~11월 30일
 

 ㅇ 모집기업 : 500개사(선착순)
 

 ㅇ 참가기업 지원내용
 
 - 공동채용관 홍보(연중)
 
 - 입사지원자 인성검사(월 2회)
 
 - 채용담당 면접관교육(분기별 1회)
 
 - 전문면접관 파견지원(월 20개사)
 
 - 신규채용 신입교육(월1회)
 
 - 신규채용 팀장교육(월1회) 등"
9337,‘2016 창조경제 벤처창업대전’ 포상 및 전시회 참가지원,마감,"판로,인력",2016년 창조경제 벤처창업대전 정부포상 및 전시회 참가신청 공고,‘2016 창조경제 벤처창업대전’ 포상 및 전시회 참가지원,2016-07-07 ~ 2016-08-31,"창업진흥원(042-480-4489, startup-expo@kised.or.kr)",벤처기업 및 창업기업 등,"ㅇ 포상규모
 
 - 산업 훈·포장, 대통령, 국무총리, 장관, 중기청장 표창 등 165점(국무총리 표창 이상 정부포상은 행정자치부와 협의과정에서 변경될 수 있음)
 

 ㅇ 포상 시상일정(예정)
 
 - 2016년 12월 1일(목) 14:00, 코엑스 C홀 특설무대
 

 ㅇ 2016 창조경제박람회 행사 개요(잠정)
 
 - 일시 및 장소 : ’16.12.1(목) ∼ 12.4(일), 코엑스 C홀
 
 - 주요내용 : 벤처/창업/지식서비스 활성화 유공자 시상식, 벤처・창업기업 전시회, 포럼, 상담회 등
 

 ㅇ 신청기간
 
 - 정부포상 : 2016. 7. 6(수) ~ 8. 3(수) 15:00 까지
 
 - 전시회 : 2016. 7. 6(수) ~ 8. 31(수) 18:00 까지"
